# Rime user dictionary
#@/db_name	luwei.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	8531
#@/user_id	win10-olymk
a 	啊	c=119 d=2.01088 t=8531
ban pei 	般配	c=1 d=1 t=3217
ban quan 	版權	c=1 d=1 t=5247
ban tian 	半天	c=1 d=1 t=2160
bang 	幫	c=2 d=1 t=8145
bang mang 	幫忙	c=1 d=1 t=2755
bao 	包	c=3 d=1.00007 t=8274
bao 	報	c=5 d=1.00026 t=8248
bao 	寶	c=1 d=1 t=3591
bao bi 	暴斃	c=1 d=1 t=2207
bao biao 	報表	c=4 d=1.97521 t=7387
bao cun 	保存	c=3 d=1 t=7893
bao cuo 	報錯	c=19 d=1.05729 t=7945
bao fei 	報廢	c=1 d=1 t=3652
bao han 	包含	c=2 d=1.94649 t=4715
bao han 	包涵	c=0 d=0.1 t=4167
bao he 	飽和	c=1 d=1 t=7903
bao kuo 	包括	c=1 d=1 t=3478
bao yi xia 	報一下	c=1 d=1 t=4602
bao zhi 	保值	c=2 d=1.66698 t=5669
bei 	唄	c=7 d=1 t=6043
bei 	被	c=11 d=1.40301 t=8531
bei chu shu 	被除數	c=1 d=1 t=2325
bei er 	貝爾	c=1 d=1 t=2309
bei feng 	被封	c=2 d=1.97045 t=7651
bei jin 	被禁	c=1 d=1 t=8045
bei ying 	背影	c=1 d=1 t=3181
ben di 	本地	c=4 d=2.31435 t=8284
ben lai 	本來	c=8 d=1.01291 t=8190
ben ren 	本人	c=1 d=1 t=3208
ben shen 	本身	c=1 d=1 t=7816
ben zhi 	本質	c=1 d=1 t=2406
beng kui 	崩潰	c=1 d=0.238115 t=8531
bi 	比	c=3 d=1 t=6257
bi jiao 	比較	c=6 d=0.431902 t=8531
bi jing 	畢竟	c=1 d=1 t=3458
bi mian 	避免	c=1 d=1 t=5417
bi qi 	比起	c=2 d=0.280851 t=8531
bi ru 	比如	c=2 d=0.113042 t=8531
bi shu 	筆數	c=1 d=1 t=3388
bi yao 	必要	c=1 d=1 t=7696
bian cheng 	變成	c=5 d=1.00175 t=6985
bian hao 	編號	c=2 d=1.88692 t=1495
bian hua 	變化	c=1 d=1 t=4948
bian ji 	編輯	c=2 d=1 t=7336
bian ma 	編碼	c=3 d=2.88622 t=641
bian ma ge shi 	編碼格式	c=1 d=1 t=610
bian yi 	編譯	c=1 d=1 t=639
bian yuan 	邊緣	c=1 d=1 t=5546
bian zhi 	貶值	c=1 d=1 t=5663
biao 	彪	c=1 d=1 t=4682
biao 	表	c=1 d=1.08781 t=6788
biao da shi 	表達式	c=1 d=1 t=689
biao ge 	彪哥	c=2 d=1.00003 t=4683
biao ge 	表格	c=1 d=1 t=4133
biao ming 	表名	c=1 d=1 t=2644
biao shi 	標識	c=1 d=1 t=5919
biao shu 	彪叔	c=1 d=1 t=1987
bie 	別	c=2 d=1.05924 t=8483
bie gao 	別搞	c=1 d=1 t=8323
bie ji 	別急	c=2 d=1 t=4213
bie ren 	別人	c=7 d=3.27383 t=3528
bie shuo 	別說	c=0 d=0.1 t=1049
bie shuo le 	別說了	c=1 d=1 t=1050
bie wan le 	別完了	c=1 d=1 t=8353
bing 	並	c=1 d=1 t=7896
bing 	餅	c=1 d=1 t=7894
bing fa 	併發	c=1 d=1 t=6966
bing ji 	並集	c=1 d=1 t=3727
bing mei you 	並沒有	c=3 d=0.729789 t=8531
bing yuan 	冰原	c=1 d=1 t=7624
bo bing 	薄餅	c=1 d=1 t=1204
bo dong 	波動	c=1 d=1 t=7975
bo long 	波龍	c=1 d=1 t=7974
bo rui 	博睿	c=2 d=1.94649 t=6192
bo zi 	脖子	c=1 d=0.501576 t=8531
bu 	不	c=14 d=0.321024 t=8476
bu 	步	c=0 d=0.1 t=4438
bu 	補	c=1 d=0.1 t=7306
bu 	部	c=5 d=1.00002 t=8349
bu chi 	不吃	c=1 d=0.162039 t=8223
bu chong 	補充	c=3 d=1.07615 t=7397
bu chong xia 	補充下	c=1 d=1 t=4237
bu chu lai 	不出來	c=1 d=1 t=3702
bu chu li 	部處理	c=1 d=1 t=6646
bu cun zai 	不存在	c=3 d=1.00008 t=8250
bu cuo 	不錯	c=3 d=1.00005 t=8083
bu da 	不打	c=1 d=1 t=6102
bu dao 	不到	c=1 d=1 t=8474
bu dong 	不懂	c=1 d=0.399707 t=7674
bu dou shi 	不都是	c=1 d=1 t=518
bu dui 	不對	c=6 d=1.56951 t=7650
bu duo 	不多	c=1 d=1 t=7422
bu fa 	補發	c=1 d=1 t=5283
bu fa song 	不發送	c=1 d=1 t=1773
bu fang qi 	不放棄	c=1 d=1 t=8477
bu fen 	部分	c=3 d=0.100676 t=4376
bu guan 	不管	c=2 d=1 t=7834
bu guo 	不過	c=10 d=1.36174 t=8531
bu hao 	不好	c=3 d=0.965857 t=8531
bu hao kan 	不好看	c=1 d=1 t=3299
bu hao wan 	不好玩	c=1 d=1 t=3606
bu he shi 	不合適	c=3 d=2.82116 t=3421
bu huang 	不慌	c=1 d=1 t=6344
bu hui 	不會	c=10 d=1.39291 t=5782
bu huo 	捕獲	c=1 d=1 t=607
bu ji 	不急	c=1 d=1 t=905
bu ji 	不計	c=1 d=1 t=1867
bu ji 	卜吉	c=0 d=0.1 t=748
bu ji 	補集	c=1 d=1 t=3728
bu ji dao 	卜吉到	c=3 d=1.00079 t=8299
bu ji de 	不記得	c=1 d=1 t=7934
bu jiu 	不就	c=2 d=1 t=7176
bu jiu de le 	不就得了	c=1 d=1 t=536
bu jiu shi 	不就是	c=1 d=1 t=995
bu kai fang 	不開放	c=1 d=1 t=985
bu ke jian 	不可見	c=2 d=1.93239 t=7735
bu liao 	不了	c=8 d=0.873716 t=8531
bu lun 	不論	c=1 d=1 t=7144
bu ming 	不明	c=0 d=0.1 t=5487
bu ming xian 	不明顯	c=1 d=1 t=5488
bu nan 	不難	c=1 d=0.225373 t=8531
bu neng 	不能	c=15 d=1.38941 t=8294
bu pa 	不怕	c=1 d=1 t=5954
bu qi 	不氣	c=1 d=1.08825 t=3428
bu qi lai 	不起來	c=0 d=0.1 t=3637
bu qing 	不清	c=0 d=0.1 t=2743
bu qing chu 	不清楚	c=4 d=1.00078 t=6893
bu que ding 	不確定	c=1 d=1 t=7512
bu ran 	不然	c=9 d=0.537944 t=8531
bu shan 	不刪	c=1 d=1 t=8179
bu shang 	不上	c=1 d=1 t=1707
bu shi 	不是	c=36 d=1.88993 t=8531
bu shu 	部署	c=3 d=1.00072 t=8257
bu shu ju 	補數據	c=2 d=1.62189 t=7402
bu shuang 	不爽	c=1 d=1 t=5938
bu shuo 	不說	c=1 d=1 t=3456
bu suan 	不算	c=2 d=1.00004 t=7848
bu tai 	不太	c=3 d=1.03088 t=2448
bu tai dong 	不太懂	c=1 d=1 t=1562
bu ti jiao 	不提交	c=1 d=1 t=1952
bu tong 	不痛	c=1 d=1 t=3378
bu wen ding 	不穩定	c=1 d=1 t=5482
bu xiang 	不想	c=4 d=0.826959 t=8531
bu xiang 	不香	c=3 d=1.00146 t=8347
bu xing 	不行	c=9 d=0.621885 t=8531
bu xiu gai 	不修改	c=1 d=1 t=790
bu xu yao 	不需要	c=2 d=1 t=5625
bu y 	不<(=～￣▽￣)～	c=1 d=0.1 t=7216
bu y yang 	不<(=～￣▽￣)～樣	c=1 d=1 t=7217
bu yao 	不要	c=9 d=0.341298 t=8531
bu yao cuo guo 	不要錯過	c=0 d=0.1 t=943
bu yao dong bu dong 	不要動不動	c=1 d=1 t=739
bu yi 	不宜	c=1 d=1 t=2443
bu yi yang 	不一樣	c=2 d=1.93239 t=6798
bu yi zhi 	不一致	c=1 d=1 t=2711
bu ying 	不應	c=1 d=1 t=6724
bu ying gai 	不應該	c=2 d=1 t=8334
bu ying xiang 	部影響	c=1 d=1 t=5341
bu yong 	不用	c=11 d=1.05035 t=8192
bu yong le 	不用了	c=2 d=1.66034 t=2211
bu yun xu 	不允許	c=2 d=1 t=7978
bu zai 	不在	c=2 d=1 t=8185
bu zao 	不早	c=0 d=0.1 t=7949
bu zao shuo 	不早說	c=1 d=1 t=7950
bu zhang 	不長	c=1 d=1 t=5785
bu zhi 	不止	c=1 d=1 t=2972
bu zhi 	不知	c=1 d=1 t=1840
bu zhi chi 	不支持	c=1 d=1 t=7856
bu zhi dao 	不知道	c=14 d=1.00293 t=8422
bu zhi wo yi ge 	不止我一個	c=1 d=1 t=773
bu zu 	不足	c=0 d=0.1 t=1352
bu zu yi 	不足以	c=1 d=1 t=2047
cai 	才	c=4 d=1.00013 t=7182
cai ce 	猜測	c=1 d=1 t=6617
cai dan 	菜單	c=1 d=1 t=4328
cai hui 	纔會	c=1 d=1 t=6684
cai ji 	菜雞	c=1 d=1 t=8415
cai neng 	才能	c=3 d=0.392586 t=8531
cai shi 	纔是	c=3 d=0.302704 t=8531
cai tuan 	財團	c=1 d=1 t=5606
cai xing 	才行	c=1 d=1 t=6003
cai you 	纔有	c=1 d=1 t=4335
cai zhi dao 	才知道	c=1 d=1 t=1297
can 	參	c=2 d=1 t=7188
can 	慘	c=5 d=1.00002 t=5976
can 	燦	c=1 d=1 t=1746
can shu 	參數	c=5 d=1 t=3973
can shu ming 	參數名	c=1 d=1 t=1015
cang ku 	倉庫	c=1 d=1 t=5230
cao ni 	草擬	c=1 d=1 t=3295
cao zuo 	操作	c=5 d=1.00069 t=7908
ce 	測	c=6 d=1.87372 t=5529
ce bu liao 	測不了	c=1 d=1 t=2164
ce hua 	策劃	c=0 d=0.1 t=1735
ce hua shi 	策劃是	c=3 d=1 t=5113
ce lve 	策略	c=1 d=1 t=6002
ce shi 	測試	c=46 d=1.00334 t=7869
ceng jing 	曾經	c=1 d=1 t=2176
cha 	查	c=3 d=1.70224 t=6742
cha bu chu 	查不出	c=1 d=1 t=4103
cha bu dao 	查不到	c=1 d=1 t=6739
cha bu duo 	差不多	c=1 d=1 t=1938
cha chu 	查出	c=1 d=1 t=4568
cha de 	差得	c=1 d=0.165299 t=8531
cha jia 	差價	c=1 d=1 t=2823
cha jian 	插件	c=2 d=1 t=6252
cha ju 	差距	c=0 d=0.012493 t=8531
cha kan 	查看	c=5 d=2.4617 t=8321
cha le 	查了	c=1 d=1 t=1270
cha xun 	查詢	c=3 d=1.0002 t=8128
cha zhao 	查找	c=2 d=1 t=4775
chan 	饞	c=1 d=1 t=5070
chang 	長	c=1 d=0.1 t=7978
chang fen 	腸粉	c=1 d=1 t=2925
chang ge 	唱歌	c=2 d=0.92494 t=8531
chang jing 	場景	c=1 d=1 t=1137
chang ke 	常客	c=5 d=3.07681 t=5476
chang lian jie 	長連接	c=1 d=1 t=7979
chang shi xing 	嘗試性	c=1 d=1 t=3373
chao 	抄	c=1 d=1 t=7444
chao 	超	c=1 d=1 t=8025
chao fu he 	超負荷	c=1 d=0.737123 t=8531
chao ge 	超哥	c=1 d=1 t=3737
chao guo 	超過	c=1 d=1 t=1898
chao xi 	抄襲	c=1 d=1 t=7435
chen 	陳	c=3 d=1.02482 t=5442
cheng 	成	c=1 d=1 t=5753
cheng 	撐	c=0 d=0.1 t=3657
cheng bu dao 	撐不到	c=1 d=1 t=3658
cheng gong 	成功	c=2 d=1 t=4007
cheng jia 	成家	c=2 d=1.97531 t=3192
cheng shi 	城市	c=1 d=1 t=5545
chi gou 	吃夠	c=1 d=1 t=972
chi guo 	吃過	c=1 d=1 t=7058
chi ji 	吃雞	c=1 d=1.1 t=970
chi xu 	持續	c=3 d=1.27097 t=8531
chi zao 	遲早	c=1 d=1 t=5560
chong 	衝	c=1 d=1 t=5201
chong fu 	重複	c=5 d=3.12192 t=7383
chong gou 	重構	c=1 d=1 t=949
chong qi 	充氣	c=3 d=1.8825 t=6118
chong qi 	重啓	c=11 d=1.82035 t=8291
chong she 	重設	c=1 d=1 t=3786
chong tu 	衝突	c=4 d=1.03131 t=5120
chong wu 	寵物	c=1 d=1 t=1722
chong xian 	重現	c=1 d=1 t=6614
chong xin 	重新	c=6 d=1.02224 t=7982
chong zhuang 	重裝	c=2 d=1.1367 t=7959
chong zuo 	重做	c=1 d=1 t=4403
chou ji 	籌集	c=1 d=1 t=5641
chu 	出	c=2 d=1 t=8447
chu bu 	初步	c=3 d=1.42102 t=6910
chu fa 	除法	c=1 d=1 t=2497
chu lai 	出來	c=1 d=1 t=7793
chu lai de 	出來的	c=2 d=1 t=7933
chu le 	除了	c=1 d=1 t=5771
chu li 	處理	c=6 d=1.03249 t=6645
chu ping 	觸屏	c=1 d=1 t=5359
chu xian 	出現	c=1 d=1 t=7993
chu zu fang 	出租房	c=1 d=1 t=5987
chuan 	串	c=1 d=1 t=2066
chuan 	傳	c=6 d=1.98623 t=8276
chuan 	穿	c=1 d=1 t=865
chuang jian 	創建	c=4 d=1.24287 t=8012
chuang shang 	牀上	c=1 d=0.442639 t=8531
chui 	吹	c=2 d=1.91393 t=959
chun cui 	純粹	c=1 d=1 t=3540
chun qing 	純情	c=1 d=1 t=3409
ci 	詞	c=1 d=0.860708 t=8531
ci ci 	此次	c=1 d=1 t=1889
ci shu 	次數	c=2 d=1.9802 t=1784
cong 	從	c=1 d=0.161714 t=8531
cong xian zai 	從現在	c=1 d=0.337902 t=8531
cui 	催	c=2 d=1 t=3793
cun zai 	存在	c=6 d=1.00026 t=6906
cuo 	錯	c=1 d=1 t=2781
cuo de 	錯的	c=1 d=1 t=479
cuo wu 	錯誤	c=4 d=1.1108 t=6584
da 	大	c=1 d=1 t=5419
da 	打	c=3 d=1.96065 t=7099
da an 	答案	c=1 d=1 t=8000
da bu kai 	打不開	c=2 d=1.00025 t=6306
da dao 	達到	c=4 d=1 t=7053
da de 	打得	c=1 d=1 t=4634
da duo 	大多	c=1 d=1 t=3451
da fu 	答覆	c=1 d=1 t=8459
da gai 	大概	c=1 d=1 t=5380
da ge 	大哥	c=9 d=2.08678 t=6370
da gu 	大股	c=1 d=1 t=5634
da jing xiao guai 	大驚小怪	c=1 d=1 t=1083
da kai 	打開	c=4 d=1.02116 t=7221
da kai le 	打開了	c=1 d=1 t=2150
da lao 	大佬	c=24 d=1.00042 t=8004
da nao 	大腦	c=6 d=2.74752 t=8531
da ri zhi 	打日誌	c=1 d=1 t=6126
da san 	大三	c=1 d=1 t=3483
da shen 	大神	c=2 d=1.44043 t=883
da shi 	大師	c=1 d=1 t=659
da shui 	大水	c=1 d=1 t=5200
da suan 	打算	c=1 d=1 t=8282
da ti 	大體	c=1 d=1 t=5795
da wan 	打完	c=1 d=1 t=7938
da xiao 	大小	c=5 d=4.2577 t=7837
da xue 	大學	c=2 d=1.15259 t=3621
da yi 	大一	c=1 d=1 t=3480
da yin 	打印	c=7 d=1.00069 t=6216
da yin ji 	打印機	c=1 d=1 t=5214
da zi 	打字	c=1 d=1 t=6036
dai 	帶	c=1 d=1 t=8403
dai 	待	c=1 d=0.1 t=5897
dai bu dong 	待不懂	c=1 d=1 t=5898
dai hui 	待會	c=1 d=1 t=2223
dai hui er 	待會兒	c=1 d=1 t=2227
dai kuan 	帶寬	c=1 d=1 t=1785
dai le 	帶了	c=1 d=1 t=3876
dai ma 	代碼	c=42 d=1.00494 t=8436
dai ma ping shen 	代碼評審	c=1 d=1 t=8437
dan 	但	c=2 d=1 t=7594
dan 	單	c=15 d=1.19278 t=7109
dan ge 	單個	c=1 d=1 t=2635
dan hao 	單號	c=2 d=1 t=6822
dan ji 	單機	c=2 d=1.00003 t=3139
dan jia 	單價	c=1 d=1 t=1469
dan shi 	但是	c=8 d=1.03594 t=7477
dang 	當	c=1 d=1 t=1559
dang wo 	當我	c=1 d=1 t=2566
dao 	倒	c=1 d=1 t=3671
dao 	刀	c=0 d=0.1 t=7930
dao 	到	c=14 d=3.15721 t=8277
dao 	導	c=1 d=1 t=3670
dao chu 	導出	c=1 d=1 t=6661
dao di 	到底	c=2 d=1.00232 t=2745
dao ding 	到頂	c=1 d=1 t=5712
dao fa 	刀法	c=1 d=1 t=7920
dao ku 	導庫	c=1 d=1 t=1704
dao qi 	到期	c=2 d=1.02237 t=7004
dao ru 	導入	c=2 d=0.11475 t=8531
dao shi 	倒是	c=2 d=0.463013 t=8531
dao shi hou 	到時候	c=5 d=1.57129 t=6860
de 	地	c=1 d=0.346456 t=8531
de 	得	c=1 d=1 t=5044
de 	德	c=1 d=1 t=4416
de 	的	c=441 d=10.3708 t=8531
de dao 	得到	c=2 d=1 t=6591
de le 	得了	c=1 d=1.00564 t=1110
de ming 	德明	c=1 d=1 t=3755
de neng 	的能	c=1 d=1 t=7589
de shi 	的事	c=0 d=0.1 t=7440
de zhi 	得知	c=1 d=1 t=7745
dei 	得	c=1 d=1 t=7966
deng 	等	c=12 d=1.87568 t=7590
deng 	鄧	c=7 d=1.17675 t=7338
deng deng 	等等	c=3 d=0.216536 t=8531
deng hui 	登輝	c=1 d=1 t=2761
deng ji 	登記	c=1 d=1 t=6816
deng lu 	登錄	c=8 d=1.00001 t=8010
deng xia 	等下	c=3 d=1 t=5499
deng yu 	等於	c=1 d=1 t=7245
deng zong 	鄧總	c=3 d=1 t=6991
di 	滴	c=1 d=1 t=8407
di di 	弟弟	c=2 d=0.0111359 t=8531
di er ci 	第二次	c=1 d=1 t=7644
di er dian 	第二點	c=1 d=1 t=4575
di er ge 	第二個	c=1 d=1 t=7899
di er ge dian 	第二個點	c=1 d=1 t=4564
di er pi 	第二批	c=1 d=1 t=4934
di er pi ji qi 	第二批機器	c=1 d=1 t=847
di fang 	地方	c=5 d=1.00049 t=7116
di gui 	遞歸	c=2 d=1.97045 t=2414
di jia 	低價	c=1 d=1 t=5426
di san fang 	第三方	c=1 d=1 t=1598
di xi 	弟媳	c=0 d=0.1 t=1272
di yi 	第一	c=1 d=1 t=4558
di yi ci 	第一次	c=1 d=1 t=7635
di yi ge 	第一個	c=3 d=2.01192 t=8202
di yu 	地獄	c=1 d=1 t=1231
di zhi 	地址	c=5 d=1 t=8074
dian 	點	c=11 d=0.387805 t=8531
dian cha ju 	點差距	c=1 d=0.125556 t=8531
dian hua 	電話	c=1 d=1 t=4467
dian ji 	點擊	c=1 d=1 t=2049
dian nao 	電腦	c=1 d=1 t=4375
dian pu 	店鋪	c=1 d=1 t=1620
dian zhang 	店長	c=1 d=1 t=4334
diao 	掉	c=2 d=1.60653 t=1541
diao 	調	c=1 d=1 t=1548
diao yo guan 	掉喲管	c=1 d=1 t=1452
diao yong 	調用	c=1 d=1.06977 t=622
diao yong zhan 	調用棧	c=1 d=1 t=551
die 	跌	c=1 d=1 t=5836
ding 	丁	c=1 d=1 t=1732
ding 	定	c=2 d=1.00002 t=7108
ding dan 	訂單	c=9 d=3.7731 t=7732
ding dan hao 	訂單號	c=3 d=1.43605 t=6846
ding ding 	叮叮	c=1 d=1 t=4618
ding duo 	定奪	c=1 d=1 t=4275
ding shi 	定時	c=2 d=1.00002 t=7304
ding wei 	定位	c=9 d=1.00897 t=7968
ding zhi 	定製	c=1 d=0.257947 t=8531
ding zhi hua 	定製化	c=1 d=0.118245 t=8531
diu qi lai 	丟起來	c=1 d=1 t=6135
diu shi 	丟失	c=1 d=1 t=5239
diu ta ma 	丟他嗎	c=1 d=1 t=6137
dong 	動	c=1 d=1 t=7676
dong 	懂	c=3 d=1.00136 t=7132
dong bu dong 	動不動	c=1 d=1.00006 t=2237
dong jing 	動靜	c=1 d=1 t=5763
dong la xi che 	東拉西扯	c=1 d=0.158025 t=8531
dong le 	懂了	c=0 d=0.1 t=559
dong ma 	懂嗎	c=1 d=1 t=7088
dong man 	動漫	c=1 d=1 t=8513
dong tai 	動態	c=0 d=0.1 t=972
dong tai gui hua 	動態規劃	c=1 d=1 t=973
dong tian 	冬天	c=1 d=1 t=3693
dong xi 	東西	c=13 d=1.75247 t=8531
dou 	都	c=41 d=1.04844 t=8497
dou kan 	都看	c=0 d=0.1 t=1007
dou kan cheng 	都看成	c=1 d=1 t=1008
dou ke yi 	都可以	c=1 d=1 t=8244
dou kuai 	都快	c=1 d=0.50409 t=8531
dou shi 	都是	c=14 d=1.42704 t=8531
dou yao 	都要	c=2 d=0.292293 t=8531
dou yi yang 	都一樣	c=1 d=1 t=3563
dou you 	都有	c=3 d=1.86522 t=3132
du de 	讀得	c=1 d=1 t=7264
du qu 	讀取	c=1 d=1 t=653
du shu ren 	讀書人	c=0 d=0.1 t=7440
du shu ren de shi 	讀書人的事	c=1 d=1 t=7441
duan 	段	c=2 d=1 t=4120
duan dian 	斷點	c=1 d=1 t=535
duan kai 	斷開	c=1 d=1 t=7994
duan kou 	端口	c=8 d=2.85252 t=8322
duan le 	斷了	c=1 d=0.506617 t=8531
duan xin 	短信	c=2 d=1.91393 t=1426
duan yan 	斷言	c=2 d=1 t=4777
dui 	對	c=4 d=1.00001 t=8077
dui huan 	兌換	c=2 d=1.37158 t=2349
dui jie 	對接	c=1 d=1 t=573
dui jin 	對勁	c=1 d=1 t=2449
dui mian 	對面	c=2 d=1.99501 t=2382
dui xiang 	對象	c=3 d=2.48282 t=7814
dui ying 	對應	c=1 d=1 t=1489
dui yu 	對於	c=2 d=1 t=7431
dui zhe ge 	對這個	c=1 d=1 t=841
dun 	盾	c=1 d=1 t=8027
duo 	多	c=5 d=0.491644 t=8531
duo bao 	多寶	c=0 d=0.1 t=5923
duo da 	多大	c=0 d=0.1 t=2374
duo duo 	多多	c=0 d=0.1 t=4167
duo duo bao han 	多多包涵	c=1 d=1 t=4168
duo jiu 	多久	c=3 d=1 t=5386
duo le 	多了	c=3 d=1 t=6887
duo me 	多麼	c=1 d=1 t=672
duo nian 	多年	c=1 d=1 t=5814
duo shao 	多少	c=2 d=1.00007 t=7465
duo tai 	多臺	c=1 d=1 t=6810
duo tian 	多天	c=1 d=1 t=7073
duo xie 	多謝	c=1 d=1 t=5401
duo zuo 	多做	c=0 d=0.1 t=1030
duo zuo meng 	多做夢	c=1 d=1 t=1031
e 	惡	c=1 d=1 t=8329
e yi 	惡意	c=1 d=1 t=1884
en 	恩	c=3 d=1.0023 t=4708
er 	二	c=1 d=1 t=5224
er 	兒	c=0 d=0.1 t=524
er 	而	c=1 d=0.26054 t=8531
er bu shi 	而不是	c=1 d=1 t=7730
er qie 	而且	c=2 d=1 t=8085
er tai 	二胎	c=1 d=1 t=6388
er yi 	而已	c=7 d=1.12873 t=7705
fa 	發	c=4 d=1.51427 t=8525
fa ban 	法辦	c=1 d=1 t=1366
fa ban 	發版	c=38 d=1.08214 t=6153
fa ban le 	發版了	c=5 d=1.98293 t=5165
fa ban ni 	發版你	c=1 d=1 t=5103
fa ban zhong 	發版中	c=3 d=1.04186 t=5123
fa bu 	發佈	c=4 d=1.98024 t=7621
fa bu ji 	發佈機	c=1 d=1 t=5270
fa bu liao 	發不了	c=1 d=1 t=1724
fa che 	發車	c=1 d=1 t=5087
fa cuo 	發錯	c=1 d=1 t=4800
fa de 	發的	c=2 d=1.71177 t=6350
fa dian 	發電	c=1 d=1 t=3236
fa fang 	發放	c=1 d=1 t=7429
fa ge 	發個	c=3 d=1.00012 t=5018
fa gei 	發給	c=1 d=1 t=4622
fa huo 	發貨	c=2 d=1.91851 t=3824
fa le 	發了	c=5 d=1.31886 t=5525
fa mei 	發黴	c=1 d=1 t=5682
fa qi 	發起	c=1 d=1 t=1218
fa sheng 	發生	c=1 d=1 t=6639
fa sheng de 	發生地	c=1 d=1 t=492
fa song 	發送	c=6 d=1.48191 t=5519
fa wan 	發完	c=0 d=0.100122 t=4079
fa wan ban 	發完版	c=1 d=1 t=2738
fa wan le 	發完了	c=4 d=1 t=8298
fa wo 	發我	c=1 d=1 t=4835
fa xia 	發下	c=5 d=1.2212 t=5126
fa xian 	發現	c=3 d=0.476161 t=8531
fa ya 	發芽	c=1 d=1 t=5218
fa yi ban 	發一版	c=1 d=1 t=5501
fa yu fa bu 	發預發佈	c=1 d=1 t=4819
fa zhan zhong 	發展中	c=1 d=1 t=5788
fan 	煩	c=1 d=1 t=5002
fan de sa 	范德薩	c=0 d=0.1 t=5519
fan de sa fan er 	范德薩反而	c=1 d=1 t=5520
fan er 	反而	c=0 d=0.1 t=5519
fan fu 	反覆	c=1 d=0.386741 t=8531
fan guo lai 	反過來	c=1 d=1 t=3125
fan hui 	返回	c=5 d=4.04624 t=2752
fan qing 	煩請	c=1 d=1 t=6847
fan shou 	反手	c=1 d=1 t=3400
fan xiang 	反向	c=1 d=1 t=6335
fan xing 	泛型	c=1 d=1 t=2515
fan zheng 	反正	c=4 d=1.12003 t=7563
fang 	放	c=1 d=0.286374 t=5553
fang an 	方案	c=3 d=0.965605 t=8531
fang bian 	方便	c=1 d=1 t=4045
fang fa 	方法	c=2 d=1 t=7772
fang huo qiang 	防火牆	c=1 d=1 t=8186
fang jia 	房價	c=1 d=1 t=5702
fang jia 	放假	c=1 d=1 t=2003
fang le 	放了	c=1 d=1 t=5556
fang pi 	放屁	c=2 d=1.96561 t=3173
fang qi 	放棄	c=0 d=0.1 t=8476
fang shen me 	放什麼	c=1 d=1 t=5554
fang shi 	方式	c=8 d=0.366045 t=8531
fang wen 	訪問	c=13 d=1.16503 t=8100
fang zai 	放在	c=1 d=1 t=6371
fang zhi 	防止	c=1 d=1 t=2324
fei 	非	c=1 d=1 t=7104
fei chang 	非常	c=6 d=1.20557 t=8531
fei chang de 	非常的	c=1 d=0.449329 t=8531
fen 	分	c=5 d=1.02478 t=7142
fen ge fu 	分隔符	c=1 d=1 t=8531
fen kai 	分開	c=1 d=1 t=3332
fen san 	分散	c=1 d=1 t=5629
fen shu 	分數	c=2 d=1.99005 t=2505
fen xiang 	分享	c=1 d=1 t=4387
fen yi xia 	分一下	c=1 d=1 t=6864
fen zhi 	分支	c=16 d=1.88949 t=5023
